year_month,log_chl_merged
2003-01,-1.0680242832282139
2003-02,-1.595212081107626
2003-03,-2.025369162528125
2003-04,-1.680015968233518
2003-05,-2.058760868606149
2003-06,-1.3695021429145156
2003-08,-1.4034272952203348
2003-09,-1.5209337959679547
2003-10,-1.6591068688783766
2003-11,-0.13242728808661144
2003-12,-0.7909973584299193
2004-01,-0.9373758437021701
2004-02,-1.4340114262660877
2004-03,-1.4198009907875349
2004-04,-1.4065108440424972
2004-05,-1.940128395650867
2004-06,-1.5847203001562236
2004-07,-1.9244363698919835
2004-08,-2.1689432897983276
2004-09,-1.1116906893343752
2004-10,-0.7456192145008635
2004-11,-0.2867017198211611
2004-12,-0.8286413553245338
2005-01,-0.6779945635095975
2005-02,-0.8985450593459366
2005-03,-2.0236965707242573
2005-04,-2.1197084819378795
2005-05,-1.0325415825506652
2005-07,-1.900952653519391
2005-08,-1.1445630377945037
2005-09,-1.927178070081752
2005-10,-0.8422834121071433
2005-11,-0.9212467426322936
2005-12,-0.9789164169829467
2006-01,-1.446700631776675
2006-02,-1.5728842141437953
2006-03,-1.912278462956738
2006-04,-1.692250842521915
2006-05,-1.9413087517400902
2006-06,-2.438054075820397
2006-07,-1.889759638812922
2006-08,-1.5123420551738966
2006-09,-1.1469287025749209
2006-10,-1.6859302634226176
2006-11,-1.2609541750154187
2006-12,-0.9407842002325555
2007-01,-1.6539803609349608
2007-02,-1.6059415319024297
2007-03,-1.9640729740624594
2007-04,-1.492650928227859
2007-05,-1.5717899498279146
2007-06,-2.219669592666738
2007-07,-1.9426980633305495
2007-08,-1.6538457555148638
2007-09,-1.6898477187300918
2007-10,-1.1893707681950456
2007-11,-0.8160467207302384
2007-12,-0.6801006577607736
2008-01,-1.0832961813563946
2008-02,-1.5723288021457507
2008-03,-1.6363557176803372
2008-04,-1.821809224467302
2008-05,-1.9368063397667803
2008-06,-2.537042404208529
2008-07,-1.7373614868757838
2008-08,-1.7829122217952855
2008-09,-1.5154450772199937
2008-10,-1.0363807233830837
2008-11,-1.3835581080770094
2008-12,-1.2289043621281077
2009-01,-1.4626280390894502
2009-02,-1.5515712078246247
2009-03,-1.2687719308467118
2009-04,-1.8112634411261983
2009-05,-1.1141579995036968
2009-06,-1.7624543399354717
2009-07,-1.64593074962648
2009-08,-1.8403789729608078
2009-09,-1.9786102675685227
2009-10,-1.4975924694444702
2009-11,-0.48713107004632705
2009-12,-1.0666769437105978
2010-01,-0.4424409927753474
2010-02,-1.3322636668325063
2010-03,-1.4383827083202905
2010-04,-1.690011646493861
2010-05,-1.102786739576922
2010-06,-1.9695114823076398
2010-07,-1.1033856631145518
2010-08,-1.9340675502649791
2010-09,-1.0959689104726984
2010-10,-0.9303950441992062
2010-11,-0.8547004000351948
2010-12,-1.2094913367877211
2011-01,-1.2720999792077754
2011-02,-1.6030744522617872
2011-03,-1.832406479059024
2011-04,-1.8841552250946203
2011-05,-1.165104717440554
2011-06,-1.3118022913125462
2011-07,-1.5805589528837236
2011-08,-1.3546271036215236
2011-09,-1.1667103374140864
2011-10,-0.9787051771256247
