fold,n_test,NSE_clim,NSE_EN,NSE_RF,KGE_EN,KGE_RF,scheme
1,36,-0.018,-0.107,0.034,-1.929,-2.3,expanding_window
2,36,-0.152,0.084,-0.062,-0.077,-0.128,expanding_window
3,36,-0.027,0.131,0.204,0.127,-0.461,expanding_window
4,36,-0.018,0.189,0.239,-0.557,-0.337,expanding_window
5,36,-0.083,0.114,0.016,-0.428,-0.473,expanding_window
1,44,-0.007,0.157,0.105,-0.24,0.161,blocked_kfold
2,43,-0.014,0.213,0.249,-0.29,-0.477,blocked_kfold
3,43,-0.048,0.072,0.11,-0.211,-0.254,blocked_kfold
4,43,-0.035,0.251,0.253,0.11,0.198,blocked_kfold
5,43,-0.089,0.026,-0.091,-0.628,-0.662,blocked_kfold
