scheme,fold,NSE_clim,NSE_EN,NSE_RF,feature_set
expanding,1,-0.019917518088879982,-0.14309210091928248,0.06267105790960348,base
expanding,2,-0.17400920123957775,0.06193587719208038,-0.09142493589219036,base
expanding,3,-0.0435624850059626,0.11420746237042934,0.1962419848142677,base
expanding,4,-0.004538043756643795,0.2520836821721383,0.3169284811233095,base
expanding,5,-0.1258921389093175,-0.011572081085009733,-0.13448435320288232,base
blocked,1,-0.006127042234745694,0.16055476476185138,0.0936809156409889,base
blocked,2,-0.008012305384348162,0.20286865656647268,0.2099566549817592,base
blocked,3,-0.05763084042018951,0.08859314090990189,0.12850340371174462,base
blocked,4,-0.019253080459882277,0.25223031654496464,0.27111776156367884,base
blocked,5,-0.1210277776471409,0.0008696920485474768,-0.11831365934568194,base
expanding,1,-0.019917518088879982,-0.03194763112968846,-0.0011545548757292412,with_sst_wind
expanding,2,-0.17400920123957775,-0.14991125359434676,-0.35986429248360086,with_sst_wind
expanding,3,-0.0435624850059626,0.16856578269064193,0.23582669255935207,with_sst_wind
expanding,4,-0.004538043756643795,0.28488716254368707,0.30745841096619586,with_sst_wind
expanding,5,-0.1258921389093175,0.10218558935972233,-0.01872448596978482,with_sst_wind
blocked,1,-0.006127042234745694,0.19802814066380736,0.13060260476066832,with_sst_wind
blocked,2,-0.008012305384348162,0.10712856893980338,0.042132737637978535,with_sst_wind
blocked,3,-0.05763084042018951,0.1102040671542801,0.10112766663003392,with_sst_wind
blocked,4,-0.019253080459882277,0.2596106987293577,0.25567953757753004,with_sst_wind
blocked,5,-0.1210277776471409,0.10116847330019918,-0.009126034036832653,with_sst_wind
