year_month,log_chl_merged,source,chl_a_mg_m3_merged
2003-01,-1.3615756025298653,MODIS,0.2562567
2003-02,-1.5983829114256887,MODIS,0.2022232666666666
2003-03,-2.1477652774821006,MODIS,0.1167447586206896
2003-04,-1.4735564141542343,MODIS,0.2291092272727272
2003-05,-1.7013531117120484,MODIS,0.1824365
2003-06,-1.6255596724418115,MODIS,0.19680149999999996
2003-07,-1.8835743646620076,MODIS,0.15204566666666658
2003-08,-1.618039455035378,MODIS,0.1982870689655172
2003-09,-1.390357501056232,MODIS,0.24898627586206887
2003-10,-1.5662516749401139,MODIS,0.2088264666666666
2003-11,0.04251579123635215,MODIS,1.0434325333333334
2003-12,-1.1616015039334098,MODIS,0.3129845333333333
2004-01,-1.2324778849156937,MODIS,0.2915692068965517
2004-02,-1.5766866887987627,MODIS,0.2066586896551724
2004-03,-1.5829857050207663,MODIS,0.20536103448275858
2004-04,-1.634905817152427,MODIS,0.1949707333333333
2004-05,-1.7913887522378054,MODIS,0.1667284642857142
2004-06,-1.6835100679215544,MODIS,0.1857209375
2004-07,-1.9303397766754913,MODIS,0.1450988888888889
2004-08,-2.2747598313009836,MODIS,0.1028216
2004-09,-0.8318326489697329,MODIS,0.4352508928571428
2004-10,-1.460375706409176,MODIS,0.2321490384615384
2004-11,-0.6979259138729337,MODIS,0.4976163333333333
2004-12,-1.233863567612833,MODIS,0.29116546428571427
2005-01,-0.7197439012426515,MODIS,0.4868769285714286
2005-02,-0.9752885359353867,MODIS,0.3770835357142857
2005-03,-2.133668499845302,MODIS,0.11840213793103438
2005-04,-1.9622930183949687,MODIS,0.1405358
2005-05,-1.5876288679671877,MODIS,0.20440971999999996
2005-06,-2.6299509191191586,MODIS,0.07208199999999998
2005-07,-1.935290003834878,MODIS,0.1443823913043478
2005-08,-1.7418923341795987,MODIS,0.1751885714285714
2005-09,-2.1828746851440823,MODIS,0.11271703846153838
2005-10,-1.1399403139781292,MODIS,0.3198381111111111
2005-11,-1.297667404824124,MODIS,0.2731682413793103
2005-12,-1.1114363667803355,MODIS,0.3290859333333333
2006-01,-1.4854421522870052,MODIS,0.2264022142857142
2006-02,-1.5201409370500063,MODIS,0.21868106451612904
2006-03,-1.7872103483157835,MODIS,0.1674265806451612
2006-04,-1.8807117495315362,MODIS,0.1524815384615384
2006-05,-1.9459922558742622,MODIS,0.1428454137931034
2006-06,-2.133804203413745,MODIS,0.1183860714285714
2006-07,-1.883816280313558,MODIS,0.1520088888888889
2006-08,-1.6023876455047226,MODIS,0.2014150357142857
2006-09,-1.5080646567714324,MODIS,0.2213379285714285
2006-10,-1.828260188919751,MODIS,0.1606929
2006-11,-1.3744925530931018,MODIS,0.2529679310344828
2006-12,-1.257938789979969,MODIS,0.2842393
2007-01,-1.3142680812785061,MODIS,0.2686708965517241
2007-02,-1.5816690607131692,MODIS,0.2056316
2007-03,-1.6065444359110146,MODIS,0.20057953333333334
2007-04,-1.8301587543285127,MODIS,0.16038810344827584
2007-05,-1.7206173091175392,MODIS,0.17895564285714283
2007-06,-1.746061427684962,MODIS,0.1744597142857142
2007-07,-1.8027730394055934,MODIS,0.16484114285714277
2007-08,-1.7028312409171635,MODIS,0.1821670344827586
2007-09,-1.7442248712772257,MODIS,0.1747804137931034
2007-10,-1.573429886489538,MODIS,0.2073328333333333
2007-11,-1.0564231970510767,MODIS,0.3476972333333333
2007-12,-0.971502130614043,MODIS,0.3785140333333333
2008-01,-1.1825978843182434,MODIS,0.3064815000000001
2008-02,-1.55918675254679,MODIS,0.2103070333333333
2008-03,-1.7150032638841601,MODIS,0.17996313333333333
2008-04,-1.9334902173955677,MODIS,0.1446424827586207
2008-05,-2.0332948684558216,MODIS,0.13090349999999998
2008-06,-2.1700988296602586,MODIS,0.1141663333333333
2008-07,-1.8884842767327006,MODIS,0.1513009655172413
2008-08,-1.7333746927357505,MODIS,0.1766871379310345
2008-09,-1.6280405400180213,MODIS,0.19631386666666661
2008-10,-1.283607336055349,MODIS,0.2770361333333334
2008-11,-1.5093472078716244,MODIS,0.2210542333333333
2008-12,-1.3387708491559023,MODIS,0.2621677142857143
2009-01,-1.408830264413943,MODIS,0.2444290333333333
2009-02,-1.6169057272816214,MODIS,0.198512
2009-03,-1.883815802383907,MODIS,0.1520089615384615
2009-04,-1.9046081814647013,MODIS,0.1488809655172414
2009-05,-1.3334381886627633,MODIS,0.2635695
2009-06,-1.6533015444162111,MODIS,0.1914168928571428
2009-07,-1.6190182732730767,MODIS,0.1980930769230769
2009-08,-2.0344920386545104,MODIS,0.13074688000000004
2009-09,-1.680650055027299,MODIS,0.1862528620689655
2009-10,-1.3679285825901377,MODIS,0.2546338666666666
2009-11,-0.9092204283380735,MODIS,0.4028381428571428
2009-12,-1.2708863120952485,MODIS,0.2805828275862069
2010-01,-0.5033018870776805,MODIS,0.6045312666666667
2010-02,-1.5608916203635839,MODIS,0.20994879310344822
2010-03,-1.61960110732052,MODIS,0.19797765517241372
2010-04,-1.9397890949021261,MODIS,0.1437342608695652
2010-05,-1.56787237219027,MODIS,0.2084882962962963
2010-06,-2.110477940744379,MODIS,0.12118003571428572
