,discharge_cfs_mean,log_q,log_q_anomaly,precip_mm_sum,spi_1,spi_3,spi_6,spi_12,month_sin,month_cos,log_q_anomaly_lag1
1946-09,162.83333333333334,5.092727182814728,-0.4666335679541609,88.5,-0.7663960364749045,-1.273069745368772,-0.5600359390062009,-1.2929518611911621,-1.0,-1.8369701987210297e-16,
1946-10,240.48387096774192,5.482653022713692,-0.32625392884582993,91.4,-0.716999410215553,-1.27605308522942,-0.9355546547584231,-1.5217293693911726,-0.8660254037844386,0.5000000000000001,-0.4666335679541609
1946-11,152.9,5.029784112935016,-0.6510205826818343,146.2,-0.21741325646421292,-1.0517116473351815,-0.9509150041822121,-1.3916585926230318,-0.5000000000000004,0.8660254037844384,-0.32625392884582993
1946-12,285.64516129032256,5.654750345731788,0.404232500127927,188.6,0.5663706986123553,-0.2821278702208792,-0.8987080249579092,-0.8314659229616168,-2.4492935982947064e-16,1.0,-0.6510205826818343
1947-01,229.67741935483872,5.4366757999208755,0.39738041022099324,138.3,0.5215275484152729,0.21829624524768865,-0.5842221278432428,-0.6560837815168917,0.49999999999999994,0.8660254037844387,0.404232500127927
1947-02,141.35714285714286,4.951289615987307,0.08814371812862376,70.3,-0.08042843946271704,0.37274521463628124,-0.4840406410356429,-0.5973484274501294,0.8660254037844386,0.5000000000000001,0.39738041022099324
1947-03,66.0,4.189654742026425,-0.6328904358766811,10.7,-1.7158739688017768,-0.6025942959793726,-0.6550451765364648,-0.8716989214504486,1.0,6.123233995736766e-17,0.08814371812862376
1947-04,70.06666666666666,4.249447169774741,-1.0034998595801268,45.7,-0.7162838696521232,-1.4188047927819603,-0.7503277068273566,-1.1373787042764167,0.8660254037844387,-0.49999999999999983,-0.6328904358766811
1947-05,181.29032258064515,5.20009973840259,-0.33391581345107113,104.89999999999999,-0.4095612290922479,-1.3546075918914569,-0.8845087933998527,-1.235910377038662,0.49999999999999994,-0.8660254037844387,-1.0034998595801268
1947-06,179.96666666666667,5.192771648556132,0.37486512036662756,,,,,,1.2246467991473532e-16,-1.0,-0.33391581345107113
1947-07,57.58064516129032,4.053186489728593,-0.4953945170346996,,,,,,-0.4999999999999998,-0.8660254037844388,0.37486512036662756
1947-08,92.41935483870968,4.526336424663694,-0.3554682589113183,,,,,,-0.8660254037844384,-0.5000000000000004,-0.4953945170346996
1947-09,146.6,4.987707789452551,-0.5716529613163379,,,,,,-1.0,-1.8369701987210297e-16,-0.3554682589113183
