basin,feature_set,scheme,fold,NSE_clim,NSE_EN,NSE_RF
manati,base,expanding,1,-0.12796436316887183,0.1314274154065539,0.08791295313545577
manati,base,expanding,2,-0.15622505037325096,0.13642263551840605,0.11522239926315414
manati,base,expanding,3,-0.23312986005629832,-0.12419991063973401,0.0215794958127129
manati,base,expanding,4,-0.010852503625538246,0.3504573083990572,0.25676629526991124
manati,base,expanding,5,-3.01497072796586e-05,0.09951414585737384,-0.09878213212218645
manati,base,blocked,1,-0.04465823690995929,0.2550762854230315,0.25431539696447436
manati,base,blocked,2,-0.004216855530270847,0.29101873283393964,0.33922044723763
manati,base,blocked,3,-0.0331520963529488,0.14138060395328667,0.12533856675293076
manati,base,blocked,4,-0.03163016345306069,0.33363077852045486,0.22149247736139244
manati,base,blocked,5,-0.01742835449465785,0.14558931788035612,-0.034499093796767744
manati,with_sst_wind,expanding,1,-0.12796436316887183,0.1333567204043261,0.09688081458301046
manati,with_sst_wind,expanding,2,-0.15622505037325096,0.15065037773838774,0.09633917164837003
manati,with_sst_wind,expanding,3,-0.23312986005629832,-0.07834575813862532,-0.0035963139943526734
manati,with_sst_wind,expanding,4,-0.010852503625538246,0.281962951835533,0.23498093109330487
manati,with_sst_wind,expanding,5,-3.01497072796586e-05,0.11337306762994381,-0.11420947037469698
manati,with_sst_wind,blocked,1,-0.04465823690995929,0.2594719714449373,0.2640113824420943
manati,with_sst_wind,blocked,2,-0.004216855530270847,0.22197165655768591,0.3088584384737584
manati,with_sst_wind,blocked,3,-0.0331520963529488,0.14218093105746576,0.11167814314261648
manati,with_sst_wind,blocked,4,-0.03163016345306069,0.32504720588571234,0.2335234457491594
manati,with_sst_wind,blocked,5,-0.01742835449465785,0.15490103299276958,-0.044328248856987384
patillas,base,expanding,1,-0.0001300433179571847,-0.016357912329341362,-0.040435869886198406
patillas,base,expanding,2,-0.12673850769728667,-0.08351288991083927,-0.5140658559320033
patillas,base,expanding,3,-0.03116346656921709,-0.00010869698838877895,0.09667997963378361
patillas,base,expanding,4,-0.1057476795379475,-0.15020456798984405,-0.028222177742809773
patillas,base,expanding,5,-0.00232696799935761,0.12014853000948467,-0.0648224903958814
patillas,base,blocked,1,-0.0629689258333832,-0.036810874210034816,-0.19996375537105116
patillas,base,blocked,2,-0.022222089223349117,-0.06128374245299062,-0.0872654274157687
patillas,base,blocked,3,-0.10850662291183921,-0.3148075272762414,-0.37565541834226535
patillas,base,blocked,4,-0.01032353152635701,0.06709925251129234,0.12118422664758066
patillas,base,blocked,5,-0.004980072555860193,0.11028572787440483,-0.05289330331733244
patillas,with_sst_wind,expanding,1,-0.0001300433179571847,-0.016357912329341362,-0.00485705528821434
patillas,with_sst_wind,expanding,2,-0.12673850769728667,-0.08351288991083927,-0.36610099873322466
patillas,with_sst_wind,expanding,3,-0.03116346656921709,-0.00010869698838877895,0.13060422452551734
patillas,with_sst_wind,expanding,4,-0.1057476795379475,-0.15564171732539567,-0.10832076093943566
patillas,with_sst_wind,expanding,5,-0.00232696799935761,0.07825990105200553,-0.03240845032320028
patillas,with_sst_wind,blocked,1,-0.0629689258333832,-0.03681087421003504,-0.17372648273406766
patillas,with_sst_wind,blocked,2,-0.022222089223349117,-0.06128374245299062,-0.07790398057366787
patillas,with_sst_wind,blocked,3,-0.10850662291183921,-0.23537329664314788,-0.32857220462674386
patillas,with_sst_wind,blocked,4,-0.01032353152635701,0.032750919268546896,0.11249024880489067
patillas,with_sst_wind,blocked,5,-0.004980072555860193,0.10764904328398495,-0.04977403956662174
anasco,base,expanding,1,-0.0926208068068699,-0.034094067110125525,0.07064679795303508
anasco,base,expanding,2,-0.17709743349906581,-0.0035017178248146763,-0.23197919625764696
anasco,base,expanding,3,-0.03172737774194201,-0.028547804014237954,-0.05555316375931296
anasco,base,expanding,4,-0.0047860333501827945,-0.015489588734254989,-0.014013384620150449
anasco,base,expanding,5,-0.10402705004312174,-0.02511112772945734,-0.10798243848237732
anasco,base,blocked,1,-0.03938089367778397,0.0037703924919432197,-0.1581530457236835
anasco,base,blocked,2,-0.1423482830791818,-0.12335114388089852,-0.20309134047887456
anasco,base,blocked,3,-0.04892982563222037,0.09913622865984939,0.05577386901115289
anasco,base,blocked,4,-0.05997177751343319,0.0033895709487895553,-0.09303393382224434
anasco,base,blocked,5,-0.04666290387501837,0.07047520610630009,0.00825502126097466
anasco,with_sst_wind,expanding,1,-0.0926208068068699,-0.034094067110125525,-0.10201369790386683
anasco,with_sst_wind,expanding,2,-0.17709743349906581,-0.0032371086752003286,-0.2182545652534187
anasco,with_sst_wind,expanding,3,-0.03172737774194201,-0.03767021147840266,-0.04118656839832968
anasco,with_sst_wind,expanding,4,-0.0047860333501827945,0.019958678363736437,-0.054640055888261596
anasco,with_sst_wind,expanding,5,-0.10402705004312174,-0.04004759215012199,-0.05098914974704383
anasco,with_sst_wind,blocked,1,-0.03938089367778397,0.003857178341228007,-0.11291305402738039
anasco,with_sst_wind,blocked,2,-0.1423482830791818,-0.11240320931647019,-0.2456107212443681
anasco,with_sst_wind,blocked,3,-0.04892982563222037,0.11956794218714673,0.09464466786119885
anasco,with_sst_wind,blocked,4,-0.05997177751343319,-0.000573073475259811,-0.05543534769067682
anasco,with_sst_wind,blocked,5,-0.04666290387501837,0.04047814979128728,0.024343256878406883
