basin,scheme,fold,NSE_clim,NSE_EN,NSE_RF
manati,expanding,1,-0.1279643631688718,0.1314274154065537,0.0877840986508106
manati,expanding,2,-0.1562250503732509,0.136422635518406,0.1150625973002101
manati,expanding,3,-0.2331298600562981,-0.124199910639734,0.0215794958127131
manati,expanding,4,-0.0108525036255384,0.3504573083990572,0.2569784763514012
manati,expanding,5,-3.01497072796586e-05,0.0995141458573739,-0.0992473767642432
manati,blocked,1,-0.044658236909959,0.2550762854230317,0.2541927852304957
manati,blocked,2,-0.0042168555302706,0.2910187328339398,0.3392204472376302
manati,blocked,3,-0.0331520963529485,0.1413806039532866,0.1253385667529309
manati,blocked,4,-0.0316301634530606,0.3336307785204547,0.2218171407231228
manati,blocked,5,-0.0174283544946582,0.145589317880356,-0.0348504452804243
plata,expanding,1,-0.1779216998290451,-0.3557141459633919,-0.1900598933702428
plata,expanding,2,-0.0441756746938928,-0.0808353857724351,-0.262346747801915
plata,expanding,3,-0.0904325594992838,0.1120960656022665,0.1215979908907074
plata,expanding,4,-0.0362045067571625,0.0535671395492249,-0.0641091229062365
plata,expanding,5,-0.0279550759529692,-0.0308111018469963,-0.3004520221500892
plata,blocked,1,-0.0342786091557663,0.0220605294185813,-0.0078451901060503
plata,blocked,2,-0.0726824739310387,-0.1563049811089796,0.0372433577732507
plata,blocked,3,-0.0241403590066868,0.0771230124006755,-0.0976760601158541
plata,blocked,4,-0.1167452849582451,0.0275909928038172,-0.0644365852565913
plata,blocked,5,-0.0338973776325017,0.0296646276351526,-0.1589402279299763
anasco,expanding,1,-0.1056170962091336,-0.0453078436724978,-0.0057537576123845
anasco,expanding,2,-0.1688503113614781,-0.0297325770657315,-0.0516854174174907
anasco,expanding,3,-0.0429370266471942,-0.0766504759459241,-0.076820837918589
anasco,expanding,4,-0.0108358620264235,0.0222643367227093,0.0243290794367205
anasco,expanding,5,-0.1250962152641996,-0.0128457820795355,-0.0878264813498286
anasco,blocked,1,-0.0570084063493094,-0.0157435534705554,-0.1490732650970028
anasco,blocked,2,-0.0689838555724031,-0.0893877107959071,-0.1795681202608279
anasco,blocked,3,-0.0492659122436802,0.1225793976611003,0.1403960303407986
anasco,blocked,4,-0.0374632866665591,-0.0138770270684176,-0.0405102233302421
anasco,blocked,5,-0.0534020680405125,0.0594651443825215,-0.00531598478243
culebrinas,expanding,1,-0.0006029064121011,0.0109788269126313,-0.0888734247227738
culebrinas,expanding,2,-0.0152319872101278,-0.0211160158892904,-0.0338264373459888
culebrinas,expanding,3,-0.0254471944155891,-0.0897910328802875,-0.2313158643993458
culebrinas,expanding,4,-0.0557773074939209,-0.0187701095114056,-0.3627402539280422
culebrinas,expanding,5,-0.0800792012559321,-0.1587036990865342,-0.0416807882093541
culebrinas,blocked,1,-0.0010452051957552,-0.0061345827885765,0.046488696112402
culebrinas,blocked,2,-3.921830563324846e-05,-0.0015908091228027,-0.1146828862726208
culebrinas,blocked,3,-0.0826861113761028,-0.1495170548565574,-0.4989933131760662
culebrinas,blocked,4,-0.0023760808714374,-0.0354944432705126,-0.2561125033223099
culebrinas,blocked,5,-0.0214145301915118,-0.0597577713701176,-0.0316929570577975
patillas,expanding,1,-0.0021017760515731,-0.0319556466301342,-0.046130197138998
patillas,expanding,2,-0.110561599285071,-0.0767002255109836,-0.4829207167922118
patillas,expanding,3,-0.0484740872306057,-0.0038788615952514,0.0708583444552607
patillas,expanding,4,-0.0919197863716538,-0.1195555735435962,0.0086607268509394
patillas,expanding,5,-0.0002763315351215,0.0741175860610713,-0.1495544295054867
patillas,blocked,1,-0.0629689258333834,-0.0370904095603277,-0.1975826856335061
patillas,blocked,2,-0.0222220892233491,-0.0609545071844894,-0.089742905494043
patillas,blocked,3,-0.1085066229118392,-0.3125962601680299,-0.3650318352286463
patillas,blocked,4,-0.0139518746779068,0.0585026650529544,0.1249532720372886
patillas,blocked,5,-0.0107540627836517,0.0916889046912134,-0.1073271368443429
guanajibo,expanding,1,-0.0033410342238815,-0.1525472439227622,-0.1430473143029318
guanajibo,expanding,2,-0.0485123795802044,-0.0425148077482462,-0.1161193264127282
guanajibo,expanding,3,-0.1650597347161784,-0.0959287666018549,-0.2526621445242396
guanajibo,expanding,4,-0.1780487074274117,-0.3116714385750476,-0.387633230343712
guanajibo,expanding,5,-0.1202138005596757,-0.1407369647737635,-0.249059070141111
guanajibo,blocked,1,-2.6543228311082245e-05,-0.0026564813965275,-0.129143541260849
guanajibo,blocked,2,-0.0023419692078685,-0.0096554371621926,-0.3887641640537693
guanajibo,blocked,3,-0.1302635565032004,-0.2477480113919115,-0.2488915977428436
guanajibo,blocked,4,-0.046959750482783,-0.1138852248136841,-0.2651059820635233
guanajibo,blocked,5,-0.1174899290141742,-0.1489869956628149,-0.2381241277339443
