basin,model,n_test,NSE,KGE,RMSE,MAE,Spearman
manati,Climatology,42,-0.017,,0.323,0.256,
manati,Persistence,42,-0.337,0.218,0.371,0.263,0.354
manati,ElasticNet,42,0.146,-0.311,0.296,0.236,0.453
manati,RandomForest,42,-0.035,0.075,0.326,0.257,0.258
plata,Climatology,42,-0.034,,0.301,0.231,
plata,Persistence,42,-0.482,0.253,0.36,0.278,0.175
plata,ElasticNet,42,0.03,0.01,0.292,0.236,0.233
plata,RandomForest,42,-0.159,-0.111,0.319,0.253,0.112
anasco,Climatology,48,-0.05,,0.457,0.354,
anasco,Persistence,48,-0.463,0.253,0.539,0.411,0.225
anasco,ElasticNet,48,0.063,-0.703,0.431,0.319,0.544
anasco,RandomForest,48,0.005,-0.621,0.444,0.324,0.391
culebrinas,Climatology,45,-0.021,,0.281,0.223,
culebrinas,Persistence,45,0.236,0.571,0.243,0.198,0.523
culebrinas,ElasticNet,45,-0.059,,0.286,0.226,
culebrinas,RandomForest,45,-0.044,-0.942,0.284,0.235,0.194
patillas,Climatology,46,-0.005,,0.204,0.159,
patillas,Persistence,46,-0.899,0.014,0.281,0.211,0.073
patillas,ElasticNet,46,0.096,-1.483,0.194,0.16,0.25
patillas,RandomForest,46,-0.086,-1.574,0.212,0.178,0.205
guanajibo,Climatology,27,-0.133,,0.511,0.365,
guanajibo,Persistence,27,-1.742,-0.371,0.795,0.555,-0.407
guanajibo,ElasticNet,27,-0.174,,0.52,0.378,
guanajibo,RandomForest,27,-0.257,-0.82,0.539,0.416,0.006
