basin,scheme,fold,NSE_clim,NSE_EN,NSE_RF
patillas,expanding,1,-0.0021017760515731343,-0.03195564663013428,-0.04613019713899802
patillas,expanding,2,-0.11056159928507103,-0.07670022551098366,-0.4829207167922118
patillas,expanding,3,-0.048474087230605756,-0.003878861595251415,0.07085834445526074
patillas,expanding,4,-0.09191978637165388,-0.11955557354359625,0.008660726850939438
patillas,expanding,5,-0.0002763315351215212,0.07411758606107133,-0.1495544295054867
patillas,blocked,1,-0.06296892583338343,-0.03709040956032772,-0.19758268563350612
patillas,blocked,2,-0.022222089223349117,-0.06095450718448947,-0.08974290549404307
patillas,blocked,3,-0.10850662291183921,-0.3125962601680299,-0.36503183522864635
patillas,blocked,4,-0.013951874677906817,0.05850266505295443,0.12495327203728868
patillas,blocked,5,-0.010754062783651763,0.09168890469121349,-0.10732713684434292
guanajibo,expanding,1,-0.003341034223881545,-0.1525472439227622,-0.14304731430293183
guanajibo,expanding,2,-0.04851237958020449,-0.04251480774824623,-0.11611932641272826
guanajibo,expanding,3,-0.1650597347161784,-0.0959287666018549,-0.25266214452423963
guanajibo,expanding,4,-0.17804870742741175,-0.31167143857504764,-0.387633230343712
guanajibo,expanding,5,-0.12021380055967579,-0.14073696477376352,-0.24905907014111106
guanajibo,blocked,1,-2.6543228311082245e-05,-0.0026564813965275214,-0.12914354126084904
guanajibo,blocked,2,-0.002341969207868555,-0.009655437162192637,-0.38876416405376935
guanajibo,blocked,3,-0.13026355650320043,-0.2477480113919115,-0.24889159774284364
guanajibo,blocked,4,-0.046959750482783,-0.11388522481368413,-0.2651059820635233
guanajibo,blocked,5,-0.11748992901417421,-0.14898699566281493,-0.2381241277339443
