basin,scheme,fold,NSE_clim,NSE_EN,NSE_RF
manati,expanding,1,-0.12796436316887183,0.13142741540655378,0.0877840986508106
manati,expanding,2,-0.15622505037325096,0.13642263551840605,0.11506259730021018
manati,expanding,3,-0.2331298600562981,-0.12419991063973401,0.021579495812713123
manati,expanding,4,-0.010852503625538468,0.3504573083990572,0.25697847635140125
manati,expanding,5,-3.01497072796586e-05,0.09951414585737395,-0.09924737676424322
manati,blocked,1,-0.04465823690995907,0.25507628542303173,0.2541927852304957
manati,blocked,2,-0.0042168555302706245,0.29101873283393986,0.33922044723763023
manati,blocked,3,-0.03315209635294858,0.14138060395328667,0.12533856675293098
manati,blocked,4,-0.03163016345306069,0.33363077852045475,0.22181714072312286
manati,blocked,5,-0.017428354494658294,0.145589317880356,-0.03485044528042436
plata,expanding,1,-0.17792169982904515,-0.3557141459633919,-0.19005989337024287
plata,expanding,2,-0.04417567469389283,-0.0808353857724351,-0.262346747801915
plata,expanding,3,-0.09043255949928386,0.11209606560226659,0.12159799089070744
plata,expanding,4,-0.03620450675716258,0.053567139549224985,-0.0641091229062365
plata,expanding,5,-0.0279550759529692,-0.030811101846996314,-0.30045202215008926
plata,blocked,1,-0.034278609155766304,0.022060529418581387,-0.007845190106050337
plata,blocked,2,-0.07268247393103877,-0.1563049811089796,0.03724335777325072
plata,blocked,3,-0.024140359006686873,0.07712301240067554,-0.09767606011585417
plata,blocked,4,-0.1167452849582451,0.02759099280381727,-0.06443658525659135
plata,blocked,5,-0.03389737763250178,0.02966462763515265,-0.1589402279299763
anasco,expanding,1,-0.10561709620913362,-0.04530784367249785,-0.0057537576123845025
anasco,expanding,2,-0.1688503113614781,-0.029732577065731514,-0.051685417417490775
anasco,expanding,3,-0.04293702664719423,-0.07665047594592411,-0.07682083791858907
anasco,expanding,4,-0.010835862026423504,0.022264336722709333,0.02432907943672058
anasco,expanding,5,-0.12509621526419967,-0.012845782079535573,-0.08782648134982862
anasco,blocked,1,-0.05700840634930948,-0.01574355347055545,-0.1490732650970028
anasco,blocked,2,-0.06898385557240316,-0.08938771079590713,-0.1795681202608279
anasco,blocked,3,-0.049265912243680265,0.12257939766110038,0.14039603034079862
anasco,blocked,4,-0.03746328666655918,-0.013877027068417647,-0.04051022333024212
anasco,blocked,5,-0.05340206804051251,0.059465144382521595,-0.0053159847824300055
culebrinas,expanding,1,-0.0006029064121011452,0.010978826912631301,-0.08887342472277382
culebrinas,expanding,2,-0.015231987210127862,-0.021116015889290463,-0.03382643734598889
culebrinas,expanding,3,-0.02544719441558918,-0.08979103288028756,-0.23131586439934582
culebrinas,expanding,4,-0.05577730749392096,-0.018770109511405675,-0.3627402539280422
culebrinas,expanding,5,-0.08007920125593215,-0.15870369908653426,-0.04168078820935417
culebrinas,blocked,1,-0.0010452051957552388,-0.0061345827885765924,0.04648869611240203
culebrinas,blocked,2,-3.921830563324846e-05,-0.0015908091228027388,-0.1146828862726208
culebrinas,blocked,3,-0.08268611137610282,-0.14951705485655742,-0.4989933131760662
culebrinas,blocked,4,-0.0023760808714374804,-0.035494443270512654,-0.25611250332230995
culebrinas,blocked,5,-0.02141453019151185,-0.05975777137011762,-0.03169295705779751
